pair,change_pct,volume_usd,score
SYND-USD,+57.95%,"$19,613,641",422.58
SYND-USD,+57.62%,"$19,578,288",420.12
SYND-USD,+57.28%,"$19,541,774",417.66
SYND-USD,+59.21%,"$11,258,368",417.52
SYND-USD,+57.28%,"$19,383,334",417.46
